cve,rank,label
CVE-2006-5331,1,1.0
CVE-2006-5331,2,0.0
CVE-2006-5331,3,0.0
CVE-2006-5331,4,0.0
CVE-2006-5331,5,0.0
CVE-2006-5331,6,0.0
CVE-2006-5331,7,0.0
CVE-2006-5331,8,0.0
CVE-2006-5331,9,0.0
CVE-2006-5331,10,0.0
CVE-2006-5331,11,0.0
CVE-2006-5331,12,0.0
CVE-2006-5331,13,0.0
CVE-2006-5331,14,0.0
CVE-2006-5331,15,0.0
CVE-2006-5331,16,0.0
CVE-2006-5331,17,0.0
CVE-2006-5331,18,0.0
CVE-2006-5331,19,0.0
CVE-2006-5331,20,0.0
CVE-2006-5331,21,0.0
CVE-2006-5331,22,0.0
CVE-2006-5331,23,0.0
CVE-2006-5331,24,0.0
CVE-2006-5331,25,0.0
CVE-2006-5331,26,0.0
CVE-2006-5331,27,0.0
CVE-2006-5331,28,0.0
CVE-2006-5331,29,0.0
CVE-2006-5331,30,0.0
CVE-2006-5331,31,0.0
CVE-2006-5331,32,0.0
CVE-2006-5331,33,0.0
CVE-2006-5331,34,0.0
CVE-2006-5331,35,0.0
CVE-2006-5331,36,0.0
CVE-2006-5331,37,0.0
CVE-2006-5331,38,0.0
CVE-2006-5331,39,0.0
CVE-2006-5331,40,0.0
CVE-2006-5331,41,0.0
CVE-2006-5331,42,0.0
CVE-2006-5331,43,0.0
CVE-2006-5331,44,0.0
CVE-2006-5331,45,0.0
CVE-2006-5331,46,0.0
CVE-2006-5331,47,0.0
CVE-2006-5331,48,0.0
CVE-2006-5331,49,0.0
CVE-2006-5331,50,0.0
CVE-2006-5331,51,0.0
CVE-2006-5331,52,0.0
CVE-2006-5331,53,0.0
CVE-2006-5331,54,0.0
CVE-2006-5331,55,0.0
CVE-2006-5331,56,0.0
CVE-2006-5331,57,0.0
CVE-2006-5331,58,0.0
CVE-2006-5331,59,0.0
CVE-2006-5331,60,0.0
CVE-2006-5331,61,0.0
CVE-2006-5331,62,0.0
CVE-2006-5331,63,0.0
CVE-2006-5331,64,0.0
CVE-2006-5331,65,0.0
CVE-2006-5331,66,0.0
CVE-2006-5331,67,0.0
CVE-2006-5331,68,0.0
CVE-2006-5331,69,0.0
CVE-2006-5331,70,0.0
CVE-2006-5331,71,0.0
CVE-2006-5331,72,0.0
CVE-2006-5331,73,0.0
CVE-2006-5331,74,0.0
CVE-2006-5331,75,0.0
CVE-2006-5331,76,0.0
CVE-2006-5331,77,0.0
CVE-2006-5331,78,0.0
CVE-2006-5331,79,0.0
CVE-2006-5331,80,0.0
CVE-2006-5331,81,0.0
CVE-2006-5331,82,0.0
CVE-2006-5331,83,0.0
CVE-2006-5331,84,0.0
CVE-2006-5331,85,0.0
CVE-2006-5331,86,0.0
CVE-2006-5331,87,0.0
CVE-2006-5331,88,0.0
CVE-2006-5331,89,0.0
CVE-2006-5331,90,0.0
CVE-2006-5331,91,0.0
CVE-2006-5331,92,0.0
CVE-2006-5331,93,0.0
CVE-2006-5331,94,0.0
CVE-2006-5331,95,0.0
CVE-2006-5331,96,0.0
CVE-2006-5331,97,0.0
CVE-2006-5331,98,0.0
CVE-2006-5331,99,0.0
CVE-2006-5331,100,0.0
CVE-2009-5147,1,1.0
CVE-2009-5147,2,0.0
CVE-2009-5147,3,0.0
CVE-2009-5147,4,0.0
CVE-2009-5147,5,0.0
CVE-2009-5147,6,0.0
CVE-2009-5147,7,0.0
CVE-2009-5147,8,0.0
CVE-2009-5147,9,0.0
CVE-2009-5147,10,0.0
CVE-2009-5147,11,0.0
CVE-2009-5147,12,0.0
CVE-2009-5147,13,0.0
CVE-2009-5147,14,0.0
CVE-2009-5147,15,0.0
CVE-2009-5147,16,0.0
CVE-2009-5147,17,0.0
CVE-2009-5147,18,0.0
CVE-2009-5147,19,0.0
CVE-2009-5147,20,0.0
CVE-2009-5147,21,0.0
CVE-2009-5147,22,0.0
CVE-2009-5147,23,0.0
CVE-2009-5147,24,0.0
CVE-2009-5147,25,0.0
CVE-2009-5147,26,0.0
CVE-2009-5147,27,0.0
CVE-2009-5147,28,0.0
CVE-2009-5147,29,0.0
CVE-2009-5147,30,0.0
CVE-2009-5147,31,0.0
CVE-2009-5147,32,0.0
CVE-2009-5147,33,0.0
CVE-2009-5147,34,0.0
CVE-2009-5147,35,0.0
CVE-2009-5147,36,0.0
CVE-2009-5147,37,0.0
CVE-2009-5147,38,0.0
CVE-2009-5147,39,0.0
CVE-2009-5147,40,0.0
CVE-2009-5147,41,0.0
CVE-2009-5147,42,0.0
CVE-2009-5147,43,0.0
CVE-2009-5147,44,0.0
CVE-2009-5147,45,0.0
CVE-2009-5147,46,0.0
CVE-2009-5147,47,0.0
CVE-2009-5147,48,0.0
CVE-2009-5147,49,0.0
CVE-2009-5147,50,0.0
CVE-2009-5147,51,0.0
CVE-2009-5147,52,0.0
CVE-2009-5147,53,0.0
CVE-2009-5147,54,0.0
CVE-2009-5147,55,0.0
CVE-2009-5147,56,0.0
CVE-2009-5147,57,0.0
CVE-2009-5147,58,0.0
CVE-2009-5147,59,0.0
CVE-2009-5147,60,0.0
CVE-2009-5147,61,0.0
CVE-2009-5147,62,0.0
CVE-2009-5147,63,0.0
CVE-2009-5147,64,0.0
CVE-2009-5147,65,0.0
CVE-2009-5147,66,0.0
CVE-2009-5147,67,0.0
CVE-2009-5147,68,0.0
